000000.png,1509.0
000001.png,1515.0
000002.png,1510.0
000003.png,1510.0
000004.png,1515.0
000005.png,1515.0
000006.png,1515.0
000007.png,1515.0
000008.png,1515.0
000009.png,1510.0
000010.png,1515.0
000011.png,1510.0
000012.png,1511.0
000013.png,1510.0
000014.png,1515.0
000015.png,1514.0
000016.png,1515.0
000017.png,1512.0
000018.png,1510.0
000019.png,1511.0
000020.png,1509.0
000021.png,1510.0
000022.png,1509.0
000023.png,1515.0
000024.png,1514.0
000025.png,1510.0
000026.png,1510.0
000027.png,1511.0
000028.png,1510.0
000029.png,1510.0
000030.png,1510.0
000031.png,1515.0
000032.png,1509.0
000033.png,1511.0
000034.png,1515.0
000035.png,1509.0
000036.png,1510.0
000037.png,1509.0
000038.png,1515.0
000039.png,1510.0
000040.png,1514.0
000041.png,1515.0
000042.png,1515.0
000043.png,1510.0
000044.png,1510.0
000045.png,1510.0
000046.png,1510.0
000047.png,1515.0
000048.png,1514.0
000049.png,1510.0
000050.png,1510.0
000051.png,1510.0
000052.png,1515.0
000053.png,1510.0
000054.png,1514.0
000055.png,1515.0
000056.png,1510.0
000057.png,1510.0
000058.png,1510.0
000059.png,1510.0
000060.png,1515.0
000061.png,1511.0
000062.png,1510.0
000063.png,1510.0
000064.png,1510.0
000065.png,1510.0
000066.png,1513.0
000067.png,1510.0
000068.png,1510.0
000069.png,1510.0
000070.png,1510.0
000071.png,1515.0
000072.png,1509.0
000073.png,1516.0
000074.png,1510.0
000075.png,1515.0
000076.png,1510.0
000077.png,1515.0
000078.png,1510.0
000079.png,1511.0
000080.png,1510.0
000081.png,1516.0
000082.png,1510.0
000083.png,1515.0
000084.png,1510.0
000085.png,1515.0
000086.png,1509.0
000087.png,1515.0
000088.png,1509.0
000089.png,1510.0
000090.png,1510.0
000091.png,1510.0
000092.png,1510.0
000093.png,1510.0
000094.png,1515.0
000095.png,1514.0
000096.png,1509.0
000097.png,1511.0
000098.png,1510.0
000099.png,1510.0
